timestamp,elapsed_ms,counts,temp_c,temp_f
1784431733,33885337,67,16.750000,62.150002
1784431743,33895349,69,17.250000,63.049999
1784431753,33905361,71,17.750000,63.950001
1784431763,33915373,72,18.000000,64.400002
1784431773,33925384,72,18.000000,64.400002
1784431783,33935396,72,18.000000,64.400002
1784431793,33945408,71,17.750000,63.950001
1784431803,33955420,75,18.750000,65.750000
1784431813,33965432,72,18.000000,64.400002
1784431823,33975444,73,18.250000,64.849998
1784431833,33985456,74,18.500000,65.300003
1784431843,33995468,75,18.750000,65.750000
1784431853,34005480,73,18.250000,64.849998
1784431863,34015492,76,19.000000,66.199997
1784431873,34025503,76,19.000000,66.199997
1784431883,34035515,75,18.750000,65.750000
1784431893,34045527,75,18.750000,65.750000
1784431903,34055539,76,19.000000,66.199997
1784431913,34065551,75,18.750000,65.750000
1784431923,34075563,76,19.000000,66.199997
1784431933,34085575,74,18.500000,65.300003
1784431943,34095587,77,19.250000,66.650002
1784431953,34105599,77,19.250000,66.650002
1784431963,34115611,77,19.250000,66.650002
1784431973,34125623,77,19.250000,66.650002
1784431984,34135634,78,19.500000,67.099998
1784431994,34145646,78,19.500000,67.099998
1784432004,34155658,78,19.500000,67.099998
1784432014,34165670,77,19.250000,66.650002
1784432024,34175682,78,19.500000,67.099998
1784432034,34185694,78,19.500000,67.099998
1784432044,34195706,78,19.500000,67.099998
1784432054,34205718,77,19.250000,66.650002
1784432064,34215730,79,19.750000,67.550003
1784432074,34225742,77,19.250000,66.650002
1784432084,34235753,79,19.750000,67.550003
1784432094,34245765,80,20.000000,68.000000
1784432104,34255777,80,20.000000,68.000000
1784432114,34265789,78,19.500000,67.099998
1784432124,34275801,80,20.000000,68.000000
1784432134,34285813,81,20.250000,68.449997
1784432144,34295825,80,20.000000,68.000000
1784432154,34305837,80,20.000000,68.000000
1784432164,34315849,79,19.750000,67.550003
1784432174,34325861,82,20.500000,68.900002
1784432184,34335873,81,20.250000,68.449997
1784432194,34345884,80,20.000000,68.000000
1784432204,34355896,83,20.750000,69.349998
1784432214,34365908,81,20.250000,68.449997
1784432224,34375920,80,20.000000,68.000000
1784432234,34385932,80,20.000000,68.000000
1784432244,34395944,81,20.250000,68.449997
1784432254,34405956,80,20.000000,68.000000
1784432264,34415968,82,20.500000,68.900002
1784432274,34425980,82,20.500000,68.900002
1784432284,34435992,82,20.500000,68.900002
1784432294,34446003,84,21.000000,69.800003
1784432304,34456015,83,20.750000,69.349998
1784432314,34466027,80,20.000000,68.000000
1784432324,34476039,83,20.750000,69.349998
1784432334,34486051,82,20.500000,68.900002
1784432344,34496063,82,20.500000,68.900002
1784432354,34506075,83,20.750000,69.349998
1784432364,34516087,83,20.750000,69.349998
1784432374,34526099,83,20.750000,69.349998
1784432384,34536111,84,21.000000,69.800003
1784432394,34546123,82,20.500000,68.900002
1784432404,34556134,85,21.250000,70.250000
1784432414,34566146,85,21.250000,70.250000
1784432424,34576158,84,21.000000,69.800003
1784432434,34586170,84,21.000000,69.800003
1784432444,34596182,83,20.750000,69.349998
1784432454,34606194,84,21.000000,69.800003
1784432464,34616206,86,21.500000,70.699997
1784432474,34626218,83,20.750000,69.349998
1784432484,34636230,84,21.000000,69.800003
1784432494,34646242,85,21.250000,70.250000
1784432504,34656253,86,21.500000,70.699997
1784432514,34666265,86,21.500000,70.699997
1784432524,34676277,86,21.500000,70.699997
1784432534,34686289,85,21.250000,70.250000
1784432544,34696301,86,21.500000,70.699997
1784432554,34706313,86,21.500000,70.699997
1784432564,34716325,86,21.500000,70.699997
1784432574,34726337,86,21.500000,70.699997
1784432584,34736349,86,21.500000,70.699997
1784432594,34746361,86,21.500000,70.699997
1784432604,34756373,86,21.500000,70.699997
1784432614,34766384,87,21.750000,71.150002
1784432624,34776396,88,22.000000,71.599998
1784432634,34786408,87,21.750000,71.150002
1784432644,34796420,87,21.750000,71.150002
1784432654,34806432,87,21.750000,71.150002
1784432664,34816444,87,21.750000,71.150002
1784432674,34826456,86,21.500000,70.699997
1784432684,34836468,87,21.750000,71.150002
1784432694,34846480,88,22.000000,71.599998
1784432704,34856492,87,21.750000,71.150002
1784432714,34866503,88,22.000000,71.599998
1784432724,34876515,90,22.500000,72.500000
1784432734,34886527,88,22.000000,71.599998
1784432744,34896539,87,21.750000,71.150002
1784432754,34906551,88,22.000000,71.599998
1784432764,34916563,88,22.000000,71.599998
1784432774,34926575,88,22.000000,71.599998
1784432784,34936587,88,22.000000,71.599998
1784432794,34946599,88,22.000000,71.599998
1784432804,34956611,88,22.000000,71.599998
1784432815,34966623,88,22.000000,71.599998
1784432825,34976634,88,22.000000,71.599998
1784432835,34986646,89,22.250000,72.050003
1784432845,34996658,89,22.250000,72.050003
1784432855,35006670,89,22.250000,72.050003
1784432865,35016682,88,22.000000,71.599998
1784432875,35026694,90,22.500000,72.500000
1784432885,35036706,90,22.500000,72.500000
1784432895,35046718,88,22.000000,71.599998
1784432905,35056730,91,22.750000,72.949997
1784432915,35066742,89,22.250000,72.050003
1784432925,35076753,89,22.250000,72.050003
1784432935,35086765,88,22.000000,71.599998
1784432945,35096777,89,22.250000,72.050003
1784432955,35106789,90,22.500000,72.500000
1784432965,35116801,89,22.250000,72.050003
1784432975,35126813,89,22.250000,72.050003
1784432985,35136825,89,22.250000,72.050003
1784432995,35146837,88,22.000000,71.599998
1784433005,35156849,89,22.250000,72.050003
1784433015,35166861,90,22.500000,72.500000
1784433025,35176873,89,22.250000,72.050003
1784433035,35186884,89,22.250000,72.050003
1784433045,35196896,90,22.500000,72.500000
1784433055,35206908,88,22.000000,71.599998
1784433065,35216920,90,22.500000,72.500000
1784433075,35226932,89,22.250000,72.050003
1784433085,35236944,89,22.250000,72.050003
1784433095,35246956,90,22.500000,72.500000
1784433105,35256968,89,22.250000,72.050003
1784433115,35266980,89,22.250000,72.050003
1784433125,35276992,89,22.250000,72.050003
1784433135,35287003,89,22.250000,72.050003
1784433145,35297015,90,22.500000,72.500000
1784433155,35307027,91,22.750000,72.949997
1784433165,35317039,90,22.500000,72.500000
1784433175,35327051,90,22.500000,72.500000
1784433185,35337063,90,22.500000,72.500000
1784433195,35347075,91,22.750000,72.949997
1784433205,35357087,85,21.250000,70.250000
1784433215,35367099,78,19.500000,67.099998
1784433225,35377111,74,18.500000,65.300003
1784433235,35387123,73,18.250000,64.849998
